"DateTime","CalibValid","discharge","quickflow","baseflow","temp_min","temp_max","precip","Observed","local","local_bfs","all_ws","all_ws_attr","all_ws_bfs","all_ws_bfs_attr"
"2019-08-06","Valid",418,58.406239904238,359.593760095762,183,294,81,2.2,2.9897602,2.1909597,3.6028152,3.2168474,2.836179,2.0818963
"2019-08-07","Valid",410,54.6614755721492,355.338524427851,183,317,0,2.2,3.0975046,2.1848056,3.6497698,3.334897,2.874379,2.6800985
"2019-08-08","Valid",385,33.0799735915127,351.920026408487,189,300,0,2.1000001,2.9132051,2.074957,3.6186032,3.321624,2.8102884,2.1195302
"2019-08-09","Valid",371,21.1945660448786,349.805433955121,144,283,0,2,2.7521825,1.9910579,3.673818,3.1505485,2.82572,2.3745947
"2019-08-10","Valid",352,3.14277410257142,348.857225897429,167,289,0,2,2.6731737,1.9339745,3.700653,2.9752011,2.7738395,2.0061607
"2019-08-11","Valid",398,49.4675260568339,348.532473943166,183,294,185,2,2.5261002,1.8367245,3.7410784,2.8890333,2.7491126,2.188738
"2019-08-12","Valid",471,123.134141345226,347.865858654774,183,294,84,2.2,2.7620425,1.9290953,3.8640478,3.3521976,2.8907115,2.5307536
"2019-08-13","Valid",447,100.402079114771,346.597920885229,211,294,43,2.5,2.8151207,1.9804349,3.8925898,3.4860046,2.8698747,3.0540738
"2019-08-14","Valid",414,69.2668876356901,344.73311236431,183,278,3,2.4,2.7194347,1.9782016,3.9284313,3.3490496,2.908308,2.383484
"2019-08-15","Valid",379,36.5498731760153,342.450126823985,156,272,0,2.3,2.608882,1.9704115,3.9154756,3.2045805,2.9178758,2.6557398
"2019-08-16","Valid",355,14.3299901927942,340.670009807206,172,306,0,2.2,2.5047774,1.9276717,3.8478072,3.0707517,2.9405694,2.627387
"2019-08-17","Valid",343,3.00539480302069,339.994605196979,206,289,0,2.1000001,2.3208709,1.8027444,3.7218542,2.7306492,2.9371896,2.652119
"2019-08-18","Valid",353,13.2642781654278,339.735721834572,183,289,107,2,2.1600056,1.7349203,3.713941,2.6323974,2.9516087,2.7245696
"2019-08-19","Valid",375,35.6220659220841,339.377934077916,200,306,0,2,2.1953835,1.7117755,3.6339974,2.7868245,2.95916,3.0916767
"2019-08-20","Valid",378,39.167589214753,338.832410785247,206,278,3,2.1000001,2.0726633,1.6727934,3.4904652,2.520484,2.921914,2.5480244
"2019-08-21","Valid",454,116.062273522917,337.937726477083,183,261,99,1.9000001,1.9810238,1.665865,3.4640746,2.5778136,3.0104196,2.2105324
"2019-08-22","Valid",460,123.55632300791,336.44367699209,167,267,10,2.6,2.081324,1.7088408,2.4780962,2.7966208,3.076709,3.060787
"2019-08-23","Valid",386,51.6801068895721,334.319893110428,133,261,0,2.5,2.0755587,1.7369597,3.2755845,2.8893867,3.073413,3.0951877
"2019-08-24","Valid",347,14.4375,332.5625,122,244,0,2.3,2.0400844,1.7368174,3.1558325,2.7441988,3.1180158,3.0706525
"2019-08-25","Valid",332,0,332,133,228,0,2.1000001,2.0068939,1.7238746,3.094974,2.744502,3.1618662,2.9149885
"2019-08-26","Valid",402,69.9015625,332.0984375,172,250,277,2.1000001,1.9620118,1.7131729,3.1053734,2.4150915,3.2022953,3.0475075
"2019-08-27","Valid",830,497.094187045932,332.905812954068,167,272,71,2.8000002,2.2849915,2.0027401,3.175706,2.8646567,3.2780566,3.3536587
"2019-08-28","Valid",655,320.78764758193,334.21235241807,133,256,0,3.1,2.522107,2.1664689,3.151489,4.0706406,3.4320498,3.5917726
"2019-08-29","Valid",489,153.765598666793,335.234401333207,144,289,0,2.6999998,2.57197,2.2552335,3.0727448,3.817154,3.4226549,3.5192213
"2019-08-30","Valid",424,88.1152099092752,335.884790090725,139,228,0,2.2,2.4608083,2.1729116,2.9066863,3.4073114,3.405899,3.081243
"2019-08-31","Valid",384,47.8379884570711,336.162011542929,128,233,0,1.8,2.4329944,2.1899042,2.983242,3.3076973,3.4043624,2.9234786
"2019-09-01","Valid",369,34.6857288935732,334.314271106427,167,239,38,2.2,2.3639958,2.1354184,2.9496257,2.9210157,3.3673587,3.021368
"2019-09-02","Valid",365,33.3359231281873,331.664076871813,167,294,0,2,2.2796524,2.067294,2.8867936,2.4952102,3.357947,2.9499753
"2019-09-03","Valid",356,26.6739709493916,329.326029050608,194,306,0,1.8,2.1159036,1.9352462,2.653764,2.143591,3.274652,2.595035
"2019-09-04","Valid",356,28.8367253506937,327.163274649306,133,233,8,1.9000001,1.9442661,1.8164971,2.3482385,1.9484386,3.2633271,2.568387
"2019-09-10","Valid",336,24.976875,311.023125,239,317,15,2.2,1.9291532,1.7997859,2.1996484,1.9302931,3.0448055,2.1924565
"2019-09-11","Valid",323,13.475,309.525,222,322,3,2,1.7190366,1.6730063,2.1725564,1.8663247,3.0854893,2.23088
"2019-09-12","Valid",309,0,309,206,328,41,1.9000001,1.606561,1.609276,2.1395974,1.7289011,3.0387666,2.1832314
"2019-09-13","Valid",476,166.76515625,309.23484375,150,228,287,2,1.5444207,1.5362434,2.0861316,1.5314445,2.9953306,2.012613
"2019-09-14","Valid",1170,858.8850703125,311.1149296875,128,289,0,2.6999998,2.0948737,1.9736996,2.5489278,2.3297973,3.073442,2.7667608
"2019-09-15","Valid",1380,1063.12581826172,316.874181738281,178,289,290,3.6,2.3427682,2.138599,2.6401072,3.705177,3.4597764,3.5985887
"2019-09-16","Valid",2900,2570.37578799805,329.624212001953,189,289,3,3.8,2.9558086,2.649239,2.9587188,3.817623,3.6505733,4.428304
"2019-09-17","Valid",2490,2137.7222420462,352.277757953796,167,267,0,4.6,3.7086902,3.2645497,3.7430456,4.5419674,3.673893,3.7593699
"2019-09-18","Valid",1650,1266.91930167965,383.080698320352,161,294,0,4.3,4.026792,3.625978,3.967891,4.4405403,3.6454945,3.7535796
"2019-09-19","Valid",1230,812.846489756566,417.153510243434,189,250,0,3.8,4.0113397,3.712423,4.04062,4.0949683,3.7211838,2.5180452
"2019-09-20","Valid",1200,748.572241049998,451.427758950002,194,306,333,3.4,3.9231389,3.727947,4.12282,3.8974504,3.8378189,2.4284163
"2019-09-21","Valid",1040,555.218430644534,484.781569355466,211,261,183,3.1999998,4.055407,3.7312558,3.9485884,3.926427,3.7591715,3.3197508
"2019-09-22","Valid",1700,1182.40384794398,517.596152056016,172,228,168,3.1999998,4.134701,3.912377,3.9937954,3.9053593,3.8745348,3.3895628
"2019-09-23","Valid",3850,3295.58053647614,554.419463523859,122,244,165,4,4.31376,4.155465,4.05946,4.3164353,4.119089,5.507851
"2019-09-24","Valid",3560,2958.96720008379,601.03279991621,150,278,0,4.6,4.7933245,4.5347977,3.7508802,4.707927,3.727004,4.0148544
"2019-09-25","Valid",2570,1913.42384863261,656.576151367388,161,267,23,4.3,4.7374873,4.61799,4.045191,4.77118,3.5441542,5.1054606
"2019-09-26","Valid",1890,1174.70062189864,715.299378101359,122,233,0,3.9,4.5912786,4.614079,4.179875,4.499396,3.616675,4.5931315
"2019-09-27","Valid",1860,1086.93380752621,773.066192473794,156,217,0,3.7,4.4378653,4.610303,4.455389,4.302035,3.7817826,4.613337
"2019-09-28","Valid",8240,7402.37901181146,837.620988188543,128,189,749,3.1999998,4.3966255,4.6461186,4.489088,4.2851233,3.9059558,2.9681625
"2019-09-29","Valid",7290,6375.220097859,914.779902140997,122,211,25,3.6,5.500682,5.0293913,3.4685988,2.7963066,2.513712,2.7759962
"2019-09-30","Valid",5340,4347.61474689307,992.385253106925,183,317,41,3.8,5.7924166,4.927813,3.8877792,4.0084376,2.8926954,3.6342244
"2019-10-01","Valid",4380,3319.12306522364,1060.87693477636,211,311,0,3.9,5.6546392,4.8765445,4.130191,4.301597,3.0479827,3.9188578
"2019-10-03","Valid",4110,2941.95337129652,1168.04662870348,83,167,130,3.6,5.2785573,4.989316,4.4710827,4.59946,3.5307412,3.8188848
"2019-10-04","Valid",3930,2723.78244802624,1206.21755197376,50,172,0,4,5.6675177,5.1562567,3.8887908,4.567056,3.328161,3.419627
"2019-10-05","Valid",3220,1986.17133118807,1233.82866881193,83,178,0,4.3,5.6998963,5.4523973,4.067832,4.779736,3.569381,3.6702895
"2019-10-06","Valid",2930,1679.12014656432,1250.87985343568,72,178,79,4.1,5.660723,5.699113,4.0921516,4.777058,3.7842717,3.794099
"2019-10-07","Valid",2580,1321.85317753534,1258.14682246466,67,211,0,4.2,5.8446035,5.973221,3.9066496,4.6954517,3.7831202,3.7840395
"2019-10-08","Valid",2190,985.599201042286,1204.40079895771,56,222,0,4.1,5.6878777,6.131427,4.0600367,4.730857,3.887945,3.8153389
"2019-10-09","Valid",1890,753.350487613282,1136.64951238672,78,222,0,4,5.492659,6.0518374,4.083347,4.6651893,4.0142717,3.4524355
"2019-10-10","Valid",1670,585.514040663007,1084.48595933699,122,194,0,4,5.306805,5.898831,4.0702496,4.5769935,4.0749907,3.0588439
"2019-10-11","Valid",1540,497.717881797846,1042.28211820215,33,194,10,3.9,5.1510406,5.7823544,4.100458,4.4856334,4.1556506,3.2814703
"2019-10-12","Valid",1440,434.019331673347,1005.98066832665,-6,150,0,3.8,5.048272,5.6241217,4.1317844,4.530199,4.2099667,2.9300666
"2019-10-13","Valid",1350,375.561439646861,974.438560353139,-6,144,0,3.8,4.9652567,5.526484,4.25008,4.6870174,4.240554,2.9338136
"2019-10-14","Valid",1250,301.958313131742,948.041686868258,0,150,0,3.8,4.890844,5.452037,4.3117023,4.79842,4.2609935,2.6469646
"2019-10-15","Valid",1180,253.603581764045,926.396418235955,44,200,0,3.8,4.781486,5.3397884,4.3464684,4.818012,4.225504,1.9663653
"2019-10-16","Valid",1130,222.139007312482,907.860992687518,33,117,0,3.8,4.622018,5.2398195,4.228322,4.653259,4.2182946,2.411907
"2019-10-17","Valid",1080,188.123251148629,891.876748851371,22,139,0,3.7,4.54392,5.1587934,4.3302846,4.7866054,4.201018,2.72783
"2019-10-18","Valid",1040,161.754866106626,878.245133893374,28,178,0,3.7,4.4301724,5.0266933,4.363682,4.794197,4.159829,2.1321995
"2019-10-19","Valid",993,125.964720115271,867.035279884729,78,189,0,3.6,4.2896523,4.874456,4.2836995,4.657595,4.0978518,2.245082
"2019-10-20","Valid",956,97.678075800293,858.321924199707,83,194,0,3.6,4.146355,4.797109,4.139689,4.5109453,4.0687475,1.9226768
"2019-10-21","Valid",925,73.3411630273437,851.658836972656,83,194,0,3.6,4.068407,4.7199683,4.036196,4.5034747,4.039088,2.1947594
"2019-10-22","Valid",945,99.3181492187499,845.68185078125,50,117,71,3.5,4.03896,4.6419525,3.948913,4.4648314,4.013997,1.9660759
"2019-10-23","Valid",921,81.6175937499999,839.38240625,28,161,5,3.5,4.461599,4.9030657,4.005787,4.7556553,3.8408797,3.1975179
"2019-10-24","Valid",872,37.2487499999999,834.75125,22,94,5,3.5,4.4522443,4.7456837,3.9456177,4.7796154,3.9296393,2.6513999
"2019-10-25","Valid",837,3.84999999999991,833.15,0,83,0,3.4,4.4265285,4.527506,4.1277533,4.64695,3.961884,2.9177713
"2019-10-26","Valid",833,0,833,-11,83,0,3.3,4.348173,4.230363,4.365925,4.6056066,3.9952667,2.4761925
"2019-10-27","Valid",1240,406.42765625,833.57234375,6,183,0,3.3,4.2711277,3.94807,4.586341,4.5794225,4.0288506,2.72711
"2019-10-28","Valid",1760,923.4928828125,836.5071171875,6,72,30,3.7,4.3569336,3.9422262,4.613304,4.85229,4.532047,2.7565532
"2019-10-29","Valid",1580,736.771544824219,843.228455175781,-6,39,25,3.9,4.9667497,4.3950667,4.832578,5.302331,4.6607428,3.32347
"2019-10-30","Valid",1420,566.848135068359,853.151864931641,-17,28,0,3.9,5.314048,4.521764,4.801025,5.0784388,4.4197116,3.1602032
"2019-10-31","Valid",1410,544.957959336243,865.042040663757,-50,0,89,3.8,5.3156447,4.3751187,4.695273,4.9677577,4.2815123,2.8702488
"2019-11-01","Valid",1460,581.765497137692,878.234502862308,-56,44,23,3.8,5.7466316,4.623371,4.7120953,4.916172,4.0085745,3.0671027
"2019-11-02","Valid",1620,728.612499548427,891.387500451573,-17,67,3,4,5.7151537,4.5074954,4.6952324,4.836927,4.159116,2.9251454
"2019-11-03","Valid",1800,896.707615048564,903.292384951436,-6,111,3,4.1,5.6686344,4.436615,4.692654,4.7357464,4.268001,3.0471153
"2019-11-04","Valid",1670,756.241661323083,913.758338676917,0,94,0,4.1,5.7450075,4.451649,4.7212834,4.674476,4.383306,3.1529198
"2019-11-05","Valid",1460,537.400166406222,922.599833593778,-22,56,0,4,5.7145214,4.3574166,4.7181325,4.482804,4.5500507,3.041676
"2019-11-06","Valid",1320,390.303978939457,929.696021060543,-17,133,3,3.9,5.5663037,4.167861,4.6495667,4.4990377,4.664781,2.9179826
"2019-11-07","Valid",1220,284.98341809987,935.01658190013,-83,-6,0,3.8,5.3097167,3.970952,4.5860977,4.2273955,4.6752796,2.6263204
"2019-11-08","Valid",1170,231.329983718839,938.670016281161,-100,-6,0,3.7,5.0919924,3.8052042,4.539693,4.561122,4.651087,3.0056555
"2019-11-09","Valid",1140,199.113691130694,940.886308869306,-17,106,0,3.7,4.801308,3.7029192,4.526011,4.6336465,4.6382613,2.6922972
"2019-11-10","Valid",1120,178.123427745371,941.876572254629,0,61,0,3.7,4.4667993,3.677637,4.5135517,4.1953077,4.587787,2.587964
"2019-11-11","Valid",1070,134.744673164062,935.255326835938,-122,6,20,3.6,4.2833223,3.6769996,4.5639925,4.3044343,4.6323957,3.1917486
"2019-11-12","Valid",1030,104.0482953125,925.9517046875,-156,-78,46,3.6,4.2605057,3.6034167,4.558486,4.590543,4.6716433,2.9667666
"2019-11-13","Valid",991,71.9035624999999,919.0964375,-100,-17,0,3.5,4.2800636,3.6716835,4.6329336,4.7821555,4.559387,2.7960045
"2019-11-14","Valid",989,75.6524999999999,913.3475,-72,-6,0,3.6,4.070299,3.6097937,4.6944904,4.6576223,4.5551558,2.6834433
"2019-11-15","Valid",940,30.8,909.2,-78,56,0,3.6,3.9783316,3.5948954,4.736368,4.656771,4.6591563,2.6966867
"2019-11-16","Valid",908,0,908,-56,56,0,3.5,3.9025733,3.5188684,4.7281795,4.4626617,4.623495,2.5911741
"2019-11-17","Valid",921,12.9817187499999,908.01828125,-11,33,0,3.4,3.8511958,3.4791684,4.717204,4.3889475,4.5581446,2.5604963
"2019-11-18","Valid",987,78.8185234374999,908.1814765625,-6,22,79,3.4,3.8371706,3.5140295,4.703128,4.4575915,4.5706463,2.6190834
"2019-11-19","Valid",1000,91.3100665039062,908.689933496094,-6,56,0,3.3,4.1171083,3.8043194,4.7366633,4.7129064,4.474159,2.968126
"2019-11-20","Valid",985,75.4007739160156,909.599226083984,-11,94,28,3.4,4.0426064,3.6815126,4.6941595,4.6849303,4.6053333,2.7789533
"2019-11-21","Valid",1080,169.043943592224,910.956056407776,6,122,99,3.4,4.1028395,3.6672075,4.619517,4.505855,4.5835953,2.7369838
"2019-11-22","Valid",1330,416.714164713724,913.285835286276,-39,22,0,3.4,4.3777947,3.9476612,4.7068896,4.7421603,4.522634,3.1732116
"2019-11-23","Valid",1270,353.492565504011,916.507434495989,-44,61,5,3.7,4.3656616,3.8788145,4.8177047,5.1826854,4.883181,3.3412645
"2019-11-24","Valid",1180,260.297731599496,919.702268400504,-11,122,0,3.7,4.337842,3.7944818,4.7286367,4.979343,4.7855945,2.981019
"2019-11-25","Valid",1130,207.561917537568,922.438082462432,6,128,0,3.6,4.2373405,3.703695,4.635084,4.6502147,4.6795473,2.7343807
"2019-11-26","Valid",1070,145.34308527076,924.65691472924,-6,122,0,3.6,4.1576905,3.6495874,4.583901,4.5343037,4.613514,2.762096
"2019-11-27","Valid",1140,213.676792113042,926.323207886958,0,111,180,3.6,4.1005583,3.5858488,4.505848,4.508728,4.5321436,2.724412
"2019-11-28","Valid",1190,262.599986951597,927.400013048403,-17,6,0,3.5,4.727268,4.275483,4.839527,5.138672,4.267405,3.3912814
"2019-11-29","Valid",1110,182.162214496315,927.837785503685,0,28,5,3.6,4.535257,4.054678,4.9423985,5.402272,4.54453,3.3273258
"2019-11-30","Valid",1220,300.321217197094,919.678782802906,17,61,89,3.6,4.378586,3.8818173,4.7921343,5.113265,4.526825,3.1432996
"2019-12-01","Valid",1360,451.694710540827,908.305289459173,-6,56,20,3.6,4.640069,4.1611376,4.8604264,5.3882384,4.604429,3.4727442
"2019-12-02","Valid",1290,395.495739286497,894.504260713503,-44,22,18,3.7,4.603658,4.0983677,4.931366,5.5632677,4.8448567,3.5619485
"2019-12-03","Valid",1220,341.701809689991,878.298190310009,-44,78,0,3.8,4.520227,3.9675467,4.846614,5.4887805,4.8390446,3.4982953
"2019-12-04","Valid",1180,320.031404611869,859.968595388131,-28,78,0,3.7,4.3235908,3.7914593,4.7069798,5.2458405,4.8830013,3.1521804
"2019-12-05","Valid",1140,300.307136453685,839.692863546315,-44,122,0,3.7,4.175804,3.705389,4.6396832,5.137806,4.788619,2.9915671
"2019-12-06","Valid",1080,261.088090999255,818.911909000745,-56,44,0,3.7,4.0663033,3.6000543,4.5494986,4.9825087,4.7868495,2.8938365
"2019-12-07","Valid",1030,230.230368647844,799.769631352156,-56,50,0,3.6,4.0028,3.5625455,4.5334826,5.0311174,4.7355027,2.948223
"2019-12-08","Valid",1010,228.086885024696,781.913114975304,11,83,0,3.6,3.9543395,3.5297117,4.4838257,4.9873505,4.6735315,2.8464472
"2019-12-09","Valid",996,232.012848675347,763.987151324653,-94,78,0,3.6,3.903655,3.5613017,4.459863,4.836686,4.6065426,2.764827
"2019-12-10","Valid",929,181.108485054429,747.891514945571,-122,-56,5,3.6,3.958062,3.4568121,4.4327784,4.9281354,4.69714,2.9810972
