"Model","RMSE_Calib","NRMSE_Calib_mean","NRMSE_Calib_iq","MI_Calib","RMSE_Valid","NRMSE_Valid_mean","NRMSE_Valid_iq","MI_Valid","Site"
"all_ws",0.238830773410567,0.363,0.919,0.158,0.274658382798086,0.456,0.808,0.262,"01408500"
"all_ws_attr",0.0655945195806216,0.1,0.252,0.469,0.0727619132303224,0.121,0.214,0.501,"01408500"
"all_ws_bfs",0.202269304895451,0.308,0.778,0.13,0.268307480132973,0.445,0.789,0.238,"01408500"
"all_ws_bfs_attr",0.0579052238296185,0.088,0.223,0.518,0.0712029776576327,0.118,0.209,0.491,"01408500"
"local",0.0629487091034423,0.096,0.242,0.489,0.0929552002770489,0.154,0.273,0.447,"01408500"
"local_bfs",0.0634831236156433,0.097,0.244,0.484,0.0867755309903733,0.144,0.255,0.492,"01408500"
"all_ws",0.183952930634794,0.201,0.836,0.109,0.251403696926979,0.268,1.059,0.222,"01463500"
"all_ws_attr",0.0827332165606012,0.09,0.376,0.327,0.124105611420473,0.132,0.523,0.345,"01463500"
"all_ws_bfs",0.142636258489434,0.156,0.648,0.161,0.26739089255619,0.285,1.126,0.219,"01463500"
"all_ws_bfs_attr",0.0981066688876553,0.107,0.446,0.276,0.174263172068979,0.186,0.734,0.336,"01463500"
"local",0.080037119359846,0.087,0.364,0.336,0.169771574357151,0.181,0.715,0.318,"01463500"
"local_bfs",0.0738502210438578,0.081,0.336,0.365,0.167345854886169,0.178,0.705,0.282,"01463500"
"all_ws",0.29326788071479,0.268,0.533,0.19,0.383088813949403,0.315,0.58,0.231,"01646500"
"all_ws_attr",0.148993040306942,0.136,0.271,0.41,0.212164609448452,0.174,0.321,0.349,"01646500"
"all_ws_bfs",0.231001454417871,0.211,0.42,0.255,0.42858104723509,0.352,0.649,0.212,"01646500"
"all_ws_bfs_attr",0.151077336807559,0.138,0.275,0.391,0.244731293966624,0.201,0.371,0.341,"01646500"
"local",0.128537476397135,0.118,0.234,0.443,0.225436700345662,0.185,0.342,0.315,"01646500"
"local_bfs",0.122075509232258,0.112,0.222,0.466,0.26177777303108,0.215,0.397,0.307,"01646500"
"all_ws",1.3470368235109,0.231,0.378,0.3,1.69472822967305,0.324,0.366,0.323,"03339000"
"all_ws_attr",1.06797197756083,0.183,0.3,0.409,1.39974564522858,0.268,0.303,0.366,"03339000"
"all_ws_bfs",1.1871385330529,0.203,0.333,0.344,2.20392849058892,0.421,0.477,0.306,"03339000"
"all_ws_bfs_attr",0.778930908598627,0.133,0.219,0.48,1.44856399782028,0.277,0.313,0.389,"03339000"
"local",0.990614601240114,0.17,0.278,0.414,1.27483215166556,0.244,0.276,0.431,"03339000"
"local_bfs",0.865522772176709,0.148,0.243,0.447,1.23825459812123,0.237,0.268,0.393,"03339000"
"all_ws",1.62924387295462,0.637,0.463,0.183,1.36753470529426,0.599,0.684,0.246,"03346500"
"all_ws_attr",0.877359003522051,0.343,0.249,0.42,1.0086213584291,0.442,0.504,0.37,"03346500"
"all_ws_bfs",1.36823409633763,0.535,0.389,0.242,1.55878218187711,0.683,0.779,0.187,"03346500"
"all_ws_bfs_attr",0.826101329867801,0.323,0.235,0.396,1.39601219494307,0.611,0.698,0.297,"03346500"
"local",0.950931139586578,0.372,0.27,0.364,1.55687206539838,0.682,0.778,0.231,"03346500"
"local_bfs",0.779942294987521,0.305,0.222,0.451,1.37076325085984,0.6,0.685,0.317,"03346500"
"all_ws",0.927873805231478,0.494,0.35,0.314,1.07675246837192,0.575,0.556,0.225,"04072150"
"all_ws_attr",0.391895836754741,0.208,0.148,0.553,0.781349815544202,0.417,0.404,0.403,"04072150"
"all_ws_bfs",0.894041481053382,0.476,0.337,0.363,1.09448388217561,0.585,0.566,0.288,"04072150"
"all_ws_bfs_attr",0.385725715609847,0.205,0.146,0.518,0.751953763747542,0.402,0.389,0.396,"04072150"
"local",0.592442791193053,0.315,0.224,0.45,1.17483329417417,0.628,0.607,0.428,"04072150"
"local_bfs",0.544916562089414,0.29,0.206,0.461,1.07403154632992,0.574,0.555,0.437,"04072150"
"all_ws",0.471556090555974,0.162,0.674,0.198,0.66253284301948,0.237,1.44,0.225,"04081000"
"all_ws_attr",0.16956058107369,0.058,0.242,0.514,0.184196634657111,0.066,0.4,0.493,"04081000"
"all_ws_bfs",0.298567573713315,0.102,0.427,0.346,0.701351654204493,0.251,1.525,0.161,"04081000"
"all_ws_bfs_attr",0.144458885962464,0.05,0.206,0.552,0.166215426035823,0.06,0.361,0.476,"04081000"
"local",0.154662104244127,0.053,0.221,0.522,0.190825092123126,0.068,0.415,0.425,"04081000"
"local_bfs",0.153763987272339,0.053,0.22,0.54,0.202293267143923,0.072,0.44,0.433,"04081000"
"all_ws",1.42508146527374,0.196,0.356,0.328,1.87226434033137,0.338,0.72,0.316,"05412500"
"all_ws_attr",0.874619971171395,0.12,0.219,0.501,2.87667827447777,0.519,1.106,0.253,"05412500"
"all_ws_bfs",1.24956764407183,0.172,0.312,0.372,1.51215004691359,0.273,0.582,0.25,"05412500"
"all_ws_bfs_attr",0.831563116666805,0.115,0.208,0.54,2.74449631625292,0.495,1.056,0.207,"05412500"
"local",1.00860863383212,0.139,0.252,0.488,2.71824018324093,0.49,1.045,0.248,"05412500"
"local_bfs",1.01725492034069,0.14,0.254,0.461,2.83028849949161,0.51,1.089,0.253,"05412500"
"all_ws",1.46133182955402,0.225,0.655,0.294,1.66105963127332,0.232,1.191,0.324,"05418400"
"all_ws_attr",0.633263611621897,0.097,0.284,0.531,1.51147884293753,0.211,1.083,0.414,"05418400"
"all_ws_bfs",1.30699233836394,0.201,0.586,0.345,2.02978588448232,0.284,1.455,0.33,"05418400"
"all_ws_bfs_attr",0.563620270228553,0.087,0.253,0.559,1.24481213996427,0.174,0.892,0.389,"05418400"
"local",0.67452303625247,0.104,0.302,0.515,2.10045789438802,0.294,1.506,0.425,"05418400"
"local_bfs",0.672679875129472,0.103,0.302,0.526,1.75576377396139,0.246,1.259,0.447,"05418400"
"all_ws",0.952060982316922,0.217,0.508,0.169,0.53083707449589,0.138,0.758,0.151,"05446500"
"all_ws_attr",0.474665420263986,0.108,0.253,0.427,1.35950118014181,0.353,1.942,0.207,"05446500"
"all_ws_bfs",0.776110383975418,0.177,0.414,0.237,0.62029421874168,0.161,0.886,0.144,"05446500"
"all_ws_bfs_attr",0.687113577164457,0.157,0.367,0.273,1.26891153470756,0.33,1.813,0.133,"05446500"
"local",0.736620853949225,0.168,0.393,0.272,1.17131057425384,0.304,1.673,0.188,"05446500"
"local_bfs",0.537776552755986,0.123,0.287,0.352,1.01057169481583,0.263,1.444,0.093,"05446500"
"all_ws",0.983153523488936,0.21,0.365,0.366,1.0352415115227,0.328,0.647,0.315,"05447500"
"all_ws_attr",0.677886115713073,0.145,0.252,0.52,1.7396972850398,0.551,1.087,0.381,"05447500"
"all_ws_bfs",0.957051196546641,0.204,0.356,0.376,1.10560314034576,0.35,0.691,0.279,"05447500"
"all_ws_bfs_attr",0.542960532896962,0.116,0.202,0.556,1.57309654555666,0.498,0.983,0.328,"05447500"
"local",0.715142779689982,0.153,0.266,0.47,1.51789027716474,0.48,0.949,0.325,"05447500"
"local_bfs",0.57342311031019,0.122,0.213,0.529,1.73009337724024,0.548,1.081,0.301,"05447500"
"all_ws",1.72654913119286,0.377,0.241,0.441,1.25375581566093,0.196,0.314,0.435,"05455100"
"all_ws_attr",0.971521042325287,0.212,0.136,0.606,2.05643029206843,0.321,0.515,0.436,"05455100"
"all_ws_bfs",1.42175925846486,0.31,0.199,0.441,1.70552223900313,0.266,0.427,0.428,"05455100"
"all_ws_bfs_attr",0.788072724966342,0.172,0.11,0.562,1.98669017007057,0.31,0.498,0.328,"05455100"
"local",1.07430153394959,0.234,0.15,0.522,2.62605370452198,0.41,0.658,0.301,"05455100"
