"Model","RMSE_Calib","NRMSE_Calib_mean","NRMSE_Calib_iq","MI_Calib","KGE_Calib","NSE_Calib","PBIAS_Calib","RMSE_Valid","NRMSE_Valid_mean","NRMSE_Valid_iq","MI_Valid","KGE_Valid","NSE_Valid","PBIAS_Valid","Site","colors"
"all_ws",0.238830773410567,0.363,0.919,0.158,-0.518742819457048,-0.658943034878016,-2,0.274658382798086,0.456,0.808,0.262,-0.6022895764348,-0.663816213834198,3.4,"01408500","#772e25"
"all_ws_attr",0.0655945195806216,0.1,0.252,0.469,0.931018583756158,0.874862920635618,1.4,0.0727619132303224,0.121,0.214,0.501,0.853039101115325,0.88323092091328,2.1,"01408500","#0096c7"
"all_ws_bfs",0.202269304895451,0.308,0.778,0.13,-0.0499465406511501,-0.189901103644054,-2.3,0.268307480132973,0.445,0.789,0.238,-0.777535386959972,-0.587761240668328,1.4,"01408500","#2b9348"
"all_ws_bfs_attr",0.0579052238296185,0.088,0.223,0.518,0.948707511249619,0.902481639160986,1.6,0.0712029776576327,0.118,0.209,0.491,0.8557628396695,0.888180911745322,2.1,"01408500","cyan"
"local",0.0629487091034423,0.096,0.242,0.489,0.898311609710843,0.884754345110592,-0.3,0.0929552002770489,0.154,0.273,0.447,0.745168783589879,0.809424522394364,1,"01408500","#f94144"
"local_bfs",0.0634831236156433,0.097,0.244,0.484,0.897968687461878,0.882789240929146,-0.1,0.0867755309903733,0.144,0.255,0.492,0.724159827930333,0.833921201330441,0.8,"01408500","#f8961e"
"all_ws",0.183952930634794,0.201,0.836,0.109,-0.146361955147855,-0.188974849233981,-1.5,0.251403696926979,0.268,1.059,0.222,-0.498538326837548,-0.932291988524444,2.7,"01463500","#772e25"
"all_ws_attr",0.0827332165606012,0.09,0.376,0.327,0.814356453035212,0.759497793847669,0.1,0.124105611420473,0.132,0.523,0.345,0.744900339106337,0.529117803311159,7.3,"01463500","#0096c7"
"all_ws_bfs",0.142636258489434,0.156,0.648,0.161,0.318927155765972,0.285143085637253,0.2,0.26739089255619,0.285,1.126,0.219,-0.535230746683772,-1.18586157430282,2.7,"01463500","#2b9348"
"all_ws_bfs_attr",0.0981066688876553,0.107,0.446,0.276,0.687715706062306,0.661813470091947,0.8,0.174263172068979,0.186,0.734,0.336,0.543183087383418,0.0715881736354941,12.9,"01463500","cyan"
"local",0.080037119359846,0.087,0.364,0.336,0.820598196414666,0.774917285312076,-0.4,0.169771574357151,0.181,0.715,0.318,0.570124751354987,0.11883064329371,1,"01463500","#f94144"
"local_bfs",0.0738502210438578,0.081,0.336,0.365,0.843644962228748,0.808370288954855,-0.2,0.167345854886169,0.178,0.705,0.282,0.58656799305577,0.143831288359139,1.3,"01463500","#f8961e"
"all_ws",0.29326788071479,0.268,0.533,0.19,0.537173600258347,0.396403220964729,-2.2,0.383088813949403,0.315,0.58,0.231,0.352785221219022,0.0674454557891787,-13.5,"01646500","#772e25"
"all_ws_attr",0.148993040306942,0.136,0.271,0.41,0.884495219588691,0.84420630537297,3.6,0.212164609448452,0.174,0.321,0.349,0.85626806915612,0.713963677833308,-1.6,"01646500","#0096c7"
"all_ws_bfs",0.231001454417871,0.211,0.42,0.255,0.715124409605379,0.625503864418142,-1.1,0.42858104723509,0.352,0.649,0.212,0.301229124509674,-0.167189102864071,-13.8,"01646500","#2b9348"
"all_ws_bfs_attr",0.151077336807559,0.138,0.275,0.391,0.870252373504183,0.8398169521056,-1.5,0.244731293966624,0.201,0.371,0.341,0.724865587210591,0.619412680972042,-11,"01646500","cyan"
"local",0.128537476397135,0.118,0.234,0.443,0.901845789530703,0.884048211942079,0.7,0.225436700345662,0.185,0.342,0.315,0.827742691428407,0.677057993611231,0.3,"01646500","#f94144"
"local_bfs",0.122075509232258,0.112,0.222,0.466,0.922687307178205,0.895413651307369,-0.4,0.26177777303108,0.215,0.397,0.307,0.625410586245994,0.56454744968636,-11.1,"01646500","#f8961e"
"all_ws",1.3470368235109,0.231,0.378,0.3,0.735465521126126,0.709483207113736,5.3,1.69472822967305,0.324,0.366,0.323,0.585101463276243,0.612588182704041,5.7,"03339000","#772e25"
"all_ws_attr",1.06797197756083,0.183,0.3,0.409,0.89154894015174,0.817386861777073,-7.8,1.39974564522858,0.268,0.303,0.366,0.866534212302943,0.735715929862568,2.4,"03339000","#0096c7"
"all_ws_bfs",1.1871385330529,0.203,0.333,0.344,0.840138617165917,0.774360510313476,5.2,2.20392849058892,0.421,0.477,0.306,0.578854209404362,0.344809284090526,8,"03339000","#2b9348"
"all_ws_bfs_attr",0.778930908598627,0.133,0.219,0.48,0.914508889839486,0.902857297854276,-1.7,1.44856399782028,0.277,0.313,0.389,0.790944215649718,0.716959807537513,13.9,"03339000","cyan"
"local",0.990614601240114,0.17,0.278,0.414,0.881209375465247,0.842883514796477,0.2,1.27483215166556,0.244,0.276,0.431,0.814143655893069,0.780780717238163,6.8,"03339000","#f94144"
"local_bfs",0.865522772176709,0.148,0.243,0.447,0.928096239049905,0.880058547835613,1.2,1.23825459812123,0.237,0.268,0.393,0.882154432250093,0.793179951680032,4.4,"03339000","#f8961e"
"all_ws",1.62924387295462,0.637,0.463,0.183,0.557865439205471,0.451871872124594,-3.5,1.36753470529426,0.599,0.684,0.246,0.545375715961493,0.180474471609788,33.1,"03346500","#772e25"
"all_ws_attr",0.877359003522051,0.343,0.249,0.42,0.832857737089691,0.841048521994026,-6.7,1.0086213584291,0.442,0.504,0.37,0.701321450285137,0.554197916257705,24.2,"03346500","#0096c7"
"all_ws_bfs",1.36823409633763,0.535,0.389,0.242,0.668750856250475,0.613427715548905,-2.1,1.55878218187711,0.683,0.779,0.187,0.269998114683257,-0.0647720408774011,6.1,"03346500","#2b9348"
"all_ws_bfs_attr",0.826101329867801,0.323,0.235,0.396,0.876773819549233,0.859078733152013,-0.4,1.39601219494307,0.611,0.698,0.297,0.523388119213297,0.145987559104465,33.7,"03346500","cyan"
"local",0.950931139586578,0.372,0.27,0.364,0.847181965937283,0.813272606681955,-0.7,1.55687206539838,0.682,0.778,0.231,0.490018590965494,-0.0621641171764442,36.6,"03346500","#f94144"
"local_bfs",0.779942294987521,0.305,0.222,0.451,0.884111047773843,0.874386927022848,-1.6,1.37076325085984,0.6,0.685,0.317,0.541612725371025,0.17660034869484,32.2,"03346500","#f8961e"
"all_ws",0.927873805231478,0.494,0.35,0.314,0.645896162302863,0.639942894779088,8.7,1.07675246837192,0.575,0.556,0.225,0.176615099217292,0.0631456154846798,-18.2,"04072150","#772e25"
"all_ws_attr",0.391895836754741,0.208,0.148,0.553,0.938992453198155,0.93577045336902,-5.3,0.781349815544202,0.417,0.404,0.403,0.721225489925446,0.506676993575523,11.1,"04072150","#0096c7"
"all_ws_bfs",0.894041481053382,0.476,0.337,0.363,0.612606712087549,0.665721153020834,0.7,1.09448388217561,0.585,0.566,0.288,0.26068887591874,0.0320362747228441,-2,"04072150","#2b9348"
"all_ws_bfs_attr",0.385725715609847,0.205,0.146,0.518,0.936093272675772,0.937777029014842,0.9,0.751953763747542,0.402,0.389,0.396,0.630957888577456,0.543098465650065,-18.3,"04072150","cyan"
"local",0.592442791193053,0.315,0.224,0.45,0.898078891696268,0.853213405236247,-6.3,1.17483329417417,0.628,0.607,0.428,0.328624609853889,-0.115302904025531,22,"04072150","#f94144"
