DateTime,CalibValid,discharge,quickflow,baseflow,temp_min,temp_max,precip,Observed,local,local_bfs,all_ws,all_ws_attr,all_ws_bfs,all_ws_bfs_attr
2019-10-06,Valid,2920,0,2920,94,211,0,1.37,1.2596563,1.2849603,0.9576155,1.2712991,0.9889997,1.222541
2019-10-10,Valid,3260,328.073704492187,2931.92629550781,100,233,89,1.32,1.2496489,1.264117,0.9656247,1.2670892,1.0111526,1.2171113
2019-10-14,Valid,4320,1349.61592484321,2970.38407515679,122,228,0,1.25,1.2574911,1.250275,0.9469878,1.256588,0.9897548,1.216074
2019-10-18,Valid,7950,4912.31106556891,3037.68893443109,28,139,0,1.15,1.1914266,1.1887282,0.98995894,1.1978252,0.99756235,1.1699414
2019-10-22,Valid,6300,2882.1489534529,3417.8510465471,117,172,135,1.03,1.1311507,1.1138968,1.0368767,1.1132663,0.8941871,1.1752398
2019-10-26,Valid,6810,2912.13641579375,3897.86358420625,89,183,3,0.99,1.0698236,1.1107439,0.9694716,1.0861051,0.8487575,1.1792766
2019-10-30,Valid,12300,7827.94946130428,4472.05053869572,144,172,3,0.86,0.92535716,1.0366178,1.054347,0.9868074,0.99537593,1.1491547
2019-11-03,Valid,33300,27815.0739726717,5484.92602732828,0,117,0,0.69000006,0.77782166,0.8293558,1.1714611,0.80165285,1.0565321,1.0215737
2019-11-07,Valid,12400,6137.0213084785,6262.9786915215,17,139,38,0.82000005,0.78205174,0.76760566,1.0509021,0.83714545,1.0926819,1.0748955
2019-11-11,Valid,8930,2499.18809664769,6430.81190335231,17,172,0,0.95000005,0.7918533,0.79382956,0.9537817,0.943473,0.9107942,1.1287118
2019-11-15,Valid,7300,1424.03559375,5875.96440625,-38,100,0,1.0500001,0.78603673,0.8064346,0.9437445,1.0157624,0.84029216,1.1296002
2019-11-19,Valid,5680,0,5680,33,94,51,1.1600001,0.78055257,0.7993482,0.9253336,1.0798872,0.8590844,1.1440144
2019-11-23,Valid,6080,390.815199414063,5689.18480058594,-32,61,25,1.0500001,0.7721234,0.75990903,0.91133785,1.1153544,0.90202457,1.1377716
2019-11-28,Valid,10700,4755.56024645744,5944.43975354256,22,117,0,0.76000005,0.75723875,0.70883536,1.0086337,0.9209674,0.97661465,1.0880300999999999
2019-12-02,Valid,10600,4173.38636293192,6426.61363706808,6,22,135,0.85,0.77018094,0.74885094,0.95862,1.0740347,0.91023266,1.0844495
2019-12-06,Valid,8970,2078.7704281644,6891.2295718356,-10,89,0,0.91,0.7720124,0.7478345,0.9702107,1.0123391,0.97798496,1.0895053
2019-12-10,Valid,12900,5679.30992114361,7220.69007885639,28,139,351,0.92,0.7806501,0.75856775,0.9235707,1.0722653,1.0432085,1.1031317
